CITY,,,SUB REGION,,,id_outlet,
,,,,,,82004-DEA-UTAMA-CIMAHI SELATAN-CIMAHI,110177
,,,,,,82003-MUT-CIBEUREUM-CIMAHI SELATAN-CIMAHI,110178
,,,,,,901001_R1-DIV-DERWATI-RANCASARI-BANDUNG,110179
,,,,,,81030-OI -CIPEDES-SUKAJADI-BANDUNG,110180
,,,,,,81029_R1-POW-PAJAJARAN-CICENDO-BANDUNG,110181
,,,,,,81028-HAN-CAMPAKA-ANDIR-BANDUNG,110182
,,,,,,81027_R1-AZM-CARINGIN-BANDUNG KULON-BANDUNG,110183
,,,,,,81024-NUR-BABAKAN TAROGONG-BOJONGLOA KALER-BANDUNG,110184
,,,,,,81023-PAM-DAGO-COBLONG-BANDUNG,110185
,,,,,,81022-A-P-JAMIKA-BOJONGLOA KALER-BANDUNG,110186
,,,,,,81019-MEG-TURANGGA-LENGKONG-BANDUNG,110187
,,,,,,81018_R1-NAY-PASIR IMPUN-MANDALAJATI-BANDUNG,110188
,,,,,,81017-G C-KARANG PAMULANG-MANDALAJATI-BANDUNG,110189
,,,,,,81015_R2-GRI-SUKAMULYA-CINAMBO-BANDUNG,110190
,,,,,,81014_R1-KAR-SINDANG JAYA-MANDALAJATI-BANDUNG,110191
,,,,,,81013-AGH-CIGENDING-UJUNG BERUNG-BANDUNG,110192
,,,,,,81012-MOF-PASIRJATI-UJUNG BERUNG-BANDUNG,110193
,,,,,,81011-MOR-MEKAR MULYA-PANYILEUKAN-BANDUNG,110194
,,,,,,81010_R1-DWI-PALASARI-CIBIRU-BANDUNG,110195
,,,,,,81008-RID-CIBADUYUT-BOJONGLOA KIDUL-BANDUNG,110196
,,,,,,81007_R2-ISN-RANCABOLANG-GEDEBAGE-BANDUNG,110197
,,,,,,81006-THE-CIMENERANG-GEDEBAGE-BANDUNG,110198
,,,,,,81005-L C-KEBON KANGKUNG-KIARACONDONG-BANDUNG,110199
,,,,,,81004-BYA-KEBON JAYANTI-KIARACONDONG-BANDUNG,110200
,,,,,,81003-DAN-CIPADUNG-CIBIRU-BANDUNG,110201
,,,,,,81002-DHI-PASIR BIRU-CIBIRU-BANDUNG,110202
,,,,,,81001_R1-KIZ-CISARANTEN KULON-ARCAMANIK-BANDUNG,110203
,,,,,,79020-SAN-NAGA PITA-SIANTAR MARTOBA-PEMATANG SIANTAR,110204
,,,,,,79019-ANU-BANTAN-SIANTAR BARAT-PEMATANG SIANTAR,110205
,,,,,,79018-MAG-BANTAN-SIANTAR BARAT-PEMATANG SIANTAR,110206
,,,,,,79017-MAS-TIMBANG GALUNG-SIANTAR BARAT-PEMATANG SIANTAR,110207
,,,,,,79016-ZIK-SUKAMAKMUR-SIANTAR MARIHAT-PEMATANG SIANTAR,110208
,,,,,,79015-MAR-SUKARAJA-SIANTAR MARIHAT-PEMATANG SIANTAR,110209
,,,,,,79014-ACH-KARO-SIANTAR SELATAN-PEMATANG SIANTAR,110210
,,,,,,79013-EKA-NAGA PITU-SIANTAR MARTOBA-PEMATANG SIANTAR,110211
,,,,,,79012-FAR-NAGA PITA-SIANTAR MARTOBA-PEMATANG SIANTAR,110212
,,,,,,79012-BUKIT SOFA-SIANTAR SITALASARI-PEMATANG SIANTAR,110213
,,,,,,79011-MER-SIPINGGOL-PINGGOL-SIANTAR BARAT-PEMATANG SIANTAR,110214
,,,,,,79010-BAH-BANTAN-SIANTAR BARAT-PEMATANG SIANTAR,110215
,,,,,,79009-ANA-BANTAN-SIANTAR BARAT-PEMATANG SIANTAR,110216
